obj_regio1;obj_newlyConst;obj_yearConstructed;obj_firingTypes;obj_cellar;obj_houseNumber;obj_livingSpace;geo_krs;obj_condition;obj_street;geo_plz;obj_noRooms;obj_telekomInternetProductAvailable;obj_barrierFree;obj_regio3;obj_livingSpaceRange;obj_telekomUploadSpeed;obj_telekomDownloadSpeed;obj_purchasePrice;obj_purchasePrice_per_qm
Niedersachsen;n;2013.0;gas;n;;170.0;Verden_Kreis;well_kept;;28832.0;6.0;True;n;Achim;5.0;40.0;100.0;549000.0;32.294.117.647.058.800
Niedersachsen;n;1909.0;oil;n;;170.0;Hannover_Kreis;well_kept;;30900.0;6.0;True;n;Wedemark;5.0;02. Apr;16.0;460000.0;27.058.823.529.411.700
Niedersachsen;n;1969.0;district_heating;y;;116.0;Celle_Kreis;well_kept;;29353.0;6.0;True;n;other;2.0;10.0;50.0;148500.0;12.801.724.137.931.000
Niedersachsen;y;2020.0;;n;;133.0;Helmstedt_Kreis;first_time_use;;38364.0;4.0;True;n;Schöningen;3.0;40.0;100.0;248400.0;18.676.691.729.323.300
Niedersachsen;n;2000.0;district_heating;y;;136.0;Wolfsburg;well_kept;;38446.0;5.0;True;y;other;3.0;02. Apr;16.0;369000.0;2.713.235.294.117.640
Niedersachsen;n;1970.0;;n;;183.0;Osnabrück_Kreis;;;49214.0;7.0;False;n;other;6.0;;;180000.0;9.836.065.573.770.490
Niedersachsen;y;2020.0;;n;;148.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;other;4.0;;;486936.0;3.290.108.108.108.100
Niedersachsen;y;2020.0;;n;;131.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;Nadorst;3.0;;;384300.0;2.933.587.786.259.540
Niedersachsen;y;2020.0;;n;;108.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;Nadorst;2.0;;;378400.0;3.503.703.703.703.700
Niedersachsen;y;2020.0;;n;;134.0;Oldenburg_Oldenburg;;;26127.0;5.0;True;n;Nadorst;3.0;40.0;100.0;429200.0;32.029.850.746.268.600
Niedersachsen;y;2020.0;;n;;125.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;other;3.0;;;415000.0;3320.0
Niedersachsen;y;2020.0;;n;;134.0;Oldenburg_Oldenburg;;;26135.0;5.0;True;n;other;3.0;40.0;100.0;440780.0;3.289.402.985.074.620
Niedersachsen;y;2020.0;;n;;108.0;Oldenburg_Oldenburg;;;26127.0;4.0;False;n;other;2.0;;;370250.0;3.428.240.740.740.740
Niedersachsen;y;2020.0;;n;;152.0;Oldenburg_Oldenburg;;;26127.0;5.0;;n;other;4.0;;;486634.0;32.015.394.736.842.100
Niedersachsen;y;2020.0;;n;;128.0;Oldenburg_Oldenburg;;;26135.0;4.0;True;n;other;3.0;40.0;100.0;444680.0;34.740.625
Niedersachsen;y;2020.0;;n;;154.0;Oldenburg_Oldenburg;;;26127.0;5.0;True;n;Nadorst;4.0;40.0;100.0;473100.0;30.720.779.220.779.200
Niedersachsen;y;2020.0;;n;;128.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;Nadorst;3.0;;;416300.0;325.234.375
Niedersachsen;y;2020.0;;n;;128.0;Oldenburg_Oldenburg;;;26127.0;4.0;;n;other;3.0;;;474462.0;3.706.734.375
Niedersachsen;n;1962.0;gas;y;;200.0;Göttingen_Kreis;mint_condition;;37127.0;7.0;True;n;other;6.0;40.0;100.0;599950.0;2999.75
Niedersachsen;n;1964.0;;n;;103.0;Oldenburg_Oldenburg;;;26127.0;4.0;True;n;other;2.0;40.0;100.0;259000.0;25.145.631.067.961.100
Niedersachsen;n;1993.0;natural_gas_light;n;;140.0;Ammerland_Kreis;fully_renovated;;26180.0;4.0;True;n;Rastede;3.0;02. Apr;16.0;325000.0;23.214.285.714.285.700
Niedersachsen;n;1955.0;;n;;90.0;Oldenburg_Oldenburg;;;26133.0;5.0;True;n;Kreyenbrück;1.0;40.0;100.0;195000.0;21.666.666.666.666.600
Niedersachsen;y;2020.0;;n;;131.0;Oldenburg_Oldenburg;;;26135.0;4.0;;n;other;3.0;;;380740.0;2.906.412.213.740.450
Niedersachsen;n;1954.0;oil;y;;160.0;Hameln_Pyrmont_Kreis;well_kept;;31840.0;8.0;True;n;Hessisch_Oldendorf;4.0;02. Apr;16.0;249500.0;1.559.375
Niedersachsen;y;2020.0;;n;;100.0;Oldenburg_Oldenburg;;;26127.0;4.0;True;n;other;1.0;40.0;100.0;356400.0;3564.0
Niedersachsen;n;1978.0;;n;;243.0;Oldenburg_Oldenburg;;;26127.0;8.0;False;n;other;7.0;;;660000.0;27.160.493.827.160.400
Niedersachsen;y;2020.0;;n;;149.0;Oldenburg_Oldenburg;;;26135.0;5.0;;n;other;4.0;;;416650.0;2.796.308.724.832.210
Niedersachsen;y;2020.0;;n;;153.0;Wesermarsch_Kreis;;;26939.0;5.0;;n;other;4.0;;;243480.0;15.913.725.490.196.000
Niedersachsen;n;2016.0;gas;n;;383.0;Cuxhaven_Kreis;;;27476.0;14.0;True;n;Cuxhaven;8.0;10.0;50.0;270000.0;7.049.608.355.091.380
Niedersachsen;y;2021.0;solar_heating;n;;170.0;Hameln_Pyrmont_Kreis;first_time_use;;31855.0;6.0;;n;Aerzen;5.0;;;1094.0;6.435.294.117.647.050
Niedersachsen;n;1967.0;gas;y;;150.0;Friesland_Kreis;well_kept;;26452.0;7.0;True;n;other;4.0;02. Apr;16.0;229000.0;15.266.666.666.666.600
Niedersachsen;y;2020.0;local_heating;n;;120.0;Hannover_Kreis;first_time_use;;31303.0;3.0;True;n;Burgdorf;2.0;40.0;100.0;275990.0;22.999.166.666.666.600
Niedersachsen;n;2002.0;gas;n;;101.9;Osterholz_Kreis;well_kept;;28790.0;5.0;True;n;Schwanewede;2.0;40.0;100.0;249000.0;24.435.721.295.387.600
Niedersachsen;n;2006.0;gas;n;;130.0;Oldenburg_Oldenburg;mint_condition;;26133.0;5.0;;n;other;3.0;;;398500.0;30.653.846.153.846.100
Niedersachsen;n;1961.0;oil;y;;124.0;Harburg_Kreis;well_kept;;21224.0;6.0;True;n;Rosengarten;3.0;40.0;100.0;349000.0;2.814.516.129.032.250
Niedersachsen;y;2019.0;gas;n;;150.0;Osnabrück_Kreis;first_time_use;;49176.0;5.0;True;n;other;4.0;40.0;100.0;395000.0;26.333.333.333.333.300
Niedersachsen;n;1978.0;gas;n;;100.0;Stade_Kreis;;;21684.0;4.0;True;n;Stade;1.0;40.0;100.0;198000.0;1980.0
Niedersachsen;y;2020.0;gas;n;;123.0;Wolfenbüttel_Kreis;first_time_use;;38272.0;5.0;;n;Burgdorf;3.0;;;174900.0;14.219.512.195.121.900
Niedersachsen;y;2020.0;gas;n;;151.0;Gifhorn_Kreis;first_time_use;;38542.0;6.0;;n;Leiferde;4.0;;;198270.0;1.313.046.357.615.890
Niedersachsen;y;2020.0;gas;n;;100.0;Salzgitter;first_time_use;;38239.0;4.0;;n;other;1.0;;;153700.0;1537.0
Niedersachsen;y;2020.0;gas;n;;108.0;Hildesheim_Kreis;first_time_use;;31008.0;5.0;;y;other;2.0;;;166880.0;15.451.851.851.851.800
Niedersachsen;y;2020.0;gas;n;;123.0;Peine_Kreis;first_time_use;;38176.0;5.0;;n;other;3.0;;;175850.0;14.296.747.967.479.600
Niedersachsen;y;2020.0;gas;n;;109.0;Hildesheim_Kreis;first_time_use;;31185.0;5.0;;n;other;2.0;;;170370.0;15.630.275.229.357.700
Niedersachsen;n;1971.0;gas;n;;98.0;Wittmund_Kreis;;;26556.0;5.0;False;n;other;1.0;;;177900.0;18.153.061.224.489.700
Niedersachsen;n;1989.0;;n;;180.0;Rotenburg_Wümme_Kreis;;;27442.0;5.0;True;n;other;5.0;02. Apr;16.0;395000.0;21.944.444.444.444.400
Niedersachsen;n;2000.0;gas;n;;130.0;Gifhorn_Kreis;well_kept;;38547.0;4.0;True;n;other;3.0;02. Apr;6.0;350000.0;26.923.076.923.076.900
Niedersachsen;n;1959.0;gas;n;;135.0;Hameln_Pyrmont_Kreis;well_kept;;31812.0;5.0;True;n;Bad_Pyrmont;3.0;40.0;100.0;168000.0;12.444.444.444.444.400
Niedersachsen;n;1977.0;gas;y;;795.25;Hannover_Kreis;well_kept;;30823.0;12.0;True;n;Garbsen;8.0;40.0;100.0;1290000.0;16.221.314.052.184.800
Niedersachsen;n;2015.0;gas;n;;123.0;Verden_Kreis;mint_condition;;28832.0;4.0;True;n;Achim;3.0;40.0;100.0;379000.0;30.813.008.130.081.300
Niedersachsen;n;1975.0;oil;n;;346.38;Stade_Kreis;;;21684.0;10.0;True;n;Stade;8.0;40.0;100.0;525000.0;15.156.764.247.358.300
