obj_newlyConst,obj_yearConstructed,obj_firingTypes,obj_cellar,obj_livingSpace,geo_krs,obj_condition,geo_plz,obj_noRooms,obj_telekomInternetProductAvailable,obj_barrierFree,obj_regio3,obj_livingSpaceRange,obj_telekomUploadSpeed,obj_telekomDownloadSpeed,obj_purchasePrice,obj_purchasePrice_per_qm,obj_hasInternetData,firingType_grouped
n,1993.0,natural_gas_light,n,140.0,Ammerland_Kreis,fully_renovated,26180.0,4.0,1.0,n,Rastede,3.0,2.4,16.0,325000.0,2321.428571428572,1,gas
n,2004.0,gas,n,109.0,Ammerland_Kreis,well_kept,26160.0,4.0,1.0,n,Bad_Zwischenahn,2.0,10.0,50.0,279000.0,2559.633027522936,1,gas
n,1900.0,unknown,n,365.0,Ammerland_Kreis,modernized,26180.0,8.0,1.0,y,Rastede,8.0,2.4,16.0,597000.0,1635.6164383561645,1,unknown
n,1969.0,unknown,n,139.74,Ammerland_Kreis,unknown,26160.0,4.0,unknown,n,Bad_Zwischenahn,3.0,0.0,0.0,188000.0,1345.3556605123802,0,unknown
y,2021.0,unknown,n,106.93,Ammerland_Kreis,unknown,26689.0,4.0,1.0,n,Apen,2.0,2.4,6.0,399900.0,3739.8297951931168,1,unknown
n,1969.0,gas,y,162.81,Ammerland_Kreis,unknown,26160.0,6.0,1.0,n,Bad_Zwischenahn,5.0,10.0,50.0,459000.0,2819.2371475953564,1,gas
n,2002.0,gas,n,151.97,Ammerland_Kreis,well_kept,26160.0,4.0,1.0,n,Bad_Zwischenahn,4.0,10.0,50.0,498000.0,3276.962558399684,1,gas
n,1993.0,gas,n,113.0,Ammerland_Kreis,modernized,26655.0,5.0,1.0,n,Westerstede,2.0,40.0,100.0,279000.0,2469.026548672566,1,gas
n,1962.0,natural_gas_light,n,143.0,Ammerland_Kreis,well_kept,26160.0,5.0,1.0,n,Bad_Zwischenahn,4.0,2.4,16.0,467000.0,3265.7342657342656,1,gas
n,1948.0,gas,n,120.0,Ammerland_Kreis,well_kept,26655.0,6.0,0.0,n,Westerstede,2.0,0.0,0.0,248000.0,2066.6666666666665,0,gas
n,1978.0,gas,n,161.0,Ammerland_Kreis,fully_renovated,26188.0,5.0,1.0,n,Edewecht,5.0,2.4,16.0,358000.0,2223.6024844720496,1,gas
n,2013.0,gas,n,160.0,Ammerland_Kreis,mint_condition,26160.0,6.0,0.0,n,Bad_Zwischenahn,4.0,0.0,0.0,418000.0,2612.5,0,gas
y,2019.0,gas,n,128.15,Ammerland_Kreis,first_time_use,26160.0,4.0,1.0,n,Bad_Zwischenahn,3.0,10.0,50.0,370000.0,2887.241513850956,1,gas
n,1977.0,gas,n,180.0,Ammerland_Kreis,fully_renovated,26180.0,5.0,1.0,n,Rastede,5.0,2.4,16.0,319000.0,1772.2222222222222,1,gas
n,1974.0,gas,n,155.0,Ammerland_Kreis,unknown,26180.0,9.0,1.0,n,Rastede,4.0,2.4,16.0,328000.0,2116.1290322580644,1,gas
n,1994.0,gas,n,265.0,Ammerland_Kreis,well_kept,26180.0,11.0,0.0,n,Rastede,8.0,0.0,0.0,449000.0,1694.339622641509,0,gas
n,1983.0,unknown,y,156.0,Ammerland_Kreis,well_kept,26160.0,6.0,1.0,n,Bad_Zwischenahn,4.0,10.0,50.0,369000.0,2365.3846153846152,1,unknown
n,2001.0,gas,n,110.0,Ammerland_Kreis,well_kept,26160.0,3.0,1.0,y,Bad_Zwischenahn,2.0,10.0,50.0,349000.0,3172.7272727272725,1,gas
n,1962.0,natural_gas_light,n,143.0,Ammerland_Kreis,well_kept,26160.0,5.0,1.0,n,Bad_Zwischenahn,4.0,2.4,16.0,467000.0,3265.7342657342656,1,gas
n,1978.0,gas,y,179.0,Ammerland_Kreis,well_kept,26215.0,8.0,1.0,n,other,5.0,40.0,100.0,449500.0,2511.1731843575417,1,gas
