obj_regio1,obj_newlyConst,obj_yearConstructed,obj_firingTypes,obj_cellar,obj_houseNumber,obj_livingSpace,geo_krs,obj_condition,obj_street,geo_plz,obj_noRooms,obj_telekomInternetProductAvailable,obj_barrierFree,obj_regio3,obj_livingSpaceRange,obj_telekomUploadSpeed,obj_telekomDownloadSpeed,obj_purchasePrice,obj_purchasePrice_per_qm
Niedersachsen,n,2013.0,gas,n,no_information,170.0,Verden_Kreis,well_kept,no_information,28832.0,6.0,True,n,Achim,5.0,40.0,100.0,549000.0,3229.4117647058824
Niedersachsen,n,1909.0,oil,n,no_information,170.0,Hannover_Kreis,well_kept,no_information,30900.0,6.0,True,n,Wedemark,5.0,2.4,16.0,460000.0,2705.8823529411766
Niedersachsen,n,1969.0,district_heating,y,no_information,116.0,Celle_Kreis,well_kept,no_information,29353.0,6.0,True,n,other,2.0,10.0,50.0,148500.0,1280.1724137931035
Niedersachsen,y,2020.0,,n,no_information,133.0,Helmstedt_Kreis,first_time_use,no_information,38364.0,4.0,True,n,Schöningen,3.0,40.0,100.0,248400.0,1867.6691729323309
Niedersachsen,n,2000.0,district_heating,y,no_information,136.0,Wolfsburg,well_kept,no_information,38446.0,5.0,True,y,other,3.0,2.4,16.0,369000.0,2713.235294117647
Niedersachsen,n,1970.0,no_information,n,no_information,183.0,Osnabrück_Kreis,no_information,no_information,49214.0,7.0,False,n,other,6.0,,,180000.0,983.6065573770492
Niedersachsen,y,2020.0,no_information,n,no_information,148.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,4.0,,n,other,4.0,,,486936.0,3290.108108108108
Niedersachsen,y,2020.0,no_information,n,no_information,131.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,4.0,,n,other,3.0,,,384300.0,2933.587786259542
Niedersachsen,y,2020.0,no_information,n,no_information,108.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,4.0,,n,other,2.0,,,378400.0,3503.703703703704
Niedersachsen,y,2020.0,no_information,n,no_information,134.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,5.0,True,n,other,3.0,40.0,100.0,429200.0,3202.9850746268658
Niedersachsen,y,2020.0,no_information,n,no_information,125.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,4.0,,n,other,3.0,,,415000.0,3320.0
Niedersachsen,y,2020.0,no_information,n,no_information,134.0,Oldenburg_Oldenburg,no_information,no_information,26135.0,5.0,True,n,other,3.0,40.0,100.0,440780.0,3289.402985074627
Niedersachsen,y,2020.0,no_information,n,no_information,108.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,4.0,False,n,other,2.0,,,370250.0,3428.240740740741
Niedersachsen,y,2020.0,no_information,n,no_information,152.0,Oldenburg_Oldenburg,no_information,no_information,26127.0,5.0,,n,other,4.0,,,486634.0,3201.5394736842104
